"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_password_reset","tests.pytest","2026-06-26","passed","2026-06-26","TestUserAuthentification","test_markers","",""
"","3418","User login with correct email and password","LMS system","2026-06-26","passed","2026-06-26","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","2026-06-26","passed","2026-06-26","TestUserAuthentification","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","2026-06-26","passed","2026-06-26","TestUserInterface","test_markers","",""
"","0","test_login","tests.pytest","2026-06-26","passed","2026-06-26","TestUserAuthentification","test_markers","",""
"","1819","User login with wrong email or password","LMS system","2026-06-26","passed","2026-06-26","Authorization","Authentication","",""
"","1486","Check displaying of empty courses list","LMS system","2026-06-26","passed","2026-06-26","Courses","Courses","",""
"","1901","Registration with correct email, username and password","LMS system","2026-06-26","passed","2026-06-26","Registration","Authentication","",""
"","1626","User login with wrong email or password","LMS system","2026-06-26","passed","2026-06-26","Authorization","Authentication","",""
"","2719","Edit course","LMS system","2026-06-26","passed","2026-06-26","Courses","Courses","",""
"","1428","Check displaying of dashboard page","LMS system","2026-06-26","passed","2026-06-26","Dashboard","Dashboard","",""
"","0","test_critical_login","tests.pytest","2026-06-26","passed","2026-06-26","","test_markers","",""
"","0","test_regression_case","tests.pytest","2026-06-26","passed","2026-06-26","","test_markers","",""
"","2450","Create course","LMS system","2026-06-26","passed","2026-06-26","Courses","Courses","",""
"","1970","User login with wrong email or password","LMS system","2026-06-26","passed","2026-06-26","Authorization","Authentication","",""
"","1568","Navigation login page to registration page","LMS system","2026-06-26","passed","2026-06-26","Authorization","Authentication","",""
