"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2010","User login with wrong email or password","LMS system","2026-06-26","passed","2026-06-26","Authorization","Authentication","",""
"","2335","Create course","LMS system","2026-06-26","passed","2026-06-26","Courses","Courses","",""
"","1746","Registration with correct email, username and password","LMS system","2026-06-26","passed","2026-06-26","Registration","Authentication","",""
"","0","test_logout","tests.pytest","2026-06-26","passed","2026-06-26","TestUserAuthentification","test_markers","",""
"","1","test_login","tests.pytest","2026-06-26","passed","2026-06-26","TestUserAuthentification","test_markers","",""
"","0","test_critical_login","tests.pytest","2026-06-26","passed","2026-06-26","","test_markers","",""
"","1650","Check displaying of empty courses list","LMS system","2026-06-26","passed","2026-06-26","Courses","Courses","",""
"","1573","User login with wrong email or password","LMS system","2026-06-26","passed","2026-06-26","Authorization","Authentication","",""
"","2730","Edit course","LMS system","2026-06-26","passed","2026-06-26","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","2026-06-26","passed","2026-06-26","TestUserAuthentification","test_markers","",""
"","0","test_regression_case","tests.pytest","2026-06-26","passed","2026-06-26","","test_markers","",""
"","1784","User login with wrong email or password","LMS system","2026-06-26","passed","2026-06-26","Authorization","Authentication","",""
"","3579","User login with correct email and password","LMS system","2026-06-26","passed","2026-06-26","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","2026-06-26","passed","2026-06-26","TestUserInterface","test_markers","",""
"","1577","Check displaying of dashboard page","LMS system","2026-06-26","passed","2026-06-26","Dashboard","Dashboard","",""
"","1445","Navigation login page to registration page","LMS system","2026-06-26","passed","2026-06-26","Authorization","Authentication","",""
