"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1821","User login with wrong email or password","LMS system","2026-06-03","passed","2026-06-03","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","2026-06-03","passed","2026-06-03","","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","2026-06-03","passed","2026-06-03","TestUserInterface","test_markers","",""
"","1520","Navigation login page to registration page","LMS system","2026-06-03","passed","2026-06-03","Authorization","Authentication","",""
"","1","test_password_reset","tests.pytest","2026-06-03","passed","2026-06-03","TestUserAuthentification","test_markers","",""
"","1610","User login with wrong email or password","LMS system","2026-06-03","passed","2026-06-03","Authorization","Authentication","",""
"","2652","Create course","LMS system","2026-06-03","passed","2026-06-03","Courses","Courses","",""
"","2096","User login with wrong email or password","LMS system","2026-06-03","passed","2026-06-03","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","2026-06-03","passed","2026-06-03","TestUserAuthentification","test_markers","",""
"","0","test_critical_login","tests.pytest","2026-06-03","passed","2026-06-03","","test_markers","",""
"","2853","Edit course","LMS system","2026-06-03","passed","2026-06-03","Courses","Courses","",""
"","1689","Registration with correct email, username and password","LMS system","2026-06-03","passed","2026-06-03","Registration","Authentication","",""
"","0","test_login","tests.pytest","2026-06-03","passed","2026-06-03","TestUserAuthentification","test_markers","",""
"","3548","User login with correct email and password","LMS system","2026-06-03","passed","2026-06-03","Authorization","Authentication","",""
"","1561","Check displaying of dashboard page","LMS system","2026-06-03","passed","2026-06-03","Dashboard","Dashboard","",""
"","1522","Check displaying of empty courses list","LMS system","2026-06-03","passed","2026-06-03","Courses","Courses","",""
